AverageY,AverageAbsY,MaxReturn,AverageAction,StdEsReturn,Epoch,AverageDiscountedReturn,StdReturn,AverageQ,AverageEsReturn,QFunRegParamNorm,AverageReturn,MaxEsReturn,AveragePolicySurr,MinEsReturn,AverageAbsQYDiff,AverageAbsQ,MinReturn,PolicyRegParamNorm,AverageQLoss
-0.226426668464,0.226426668464,-40.9847738699,0.7609935793,58.8444723979,20,-125.532458828,52.2492077837,-0.226407363198,-190.647072908,9.32406985705,-189.730282884,-32.3642268412,0.224343017835,-270.901472955,0.00513643580578,0.226407363198,-288.4876357,9.64804028224,7.06471065745e-05
-0.239534956548,0.239534956548,-30.5462349755,0.776891368783,71.6398784488,21,-98.8674985123,64.1011976368,-0.239509763677,-174.673647845,9.43407204503,-137.574081391,-45.6874284851,0.237053468676,-279.248181,0.00555248941709,0.239509763677,-287.115436195,9.73586104306,8.76984174e-05
-0.255058606075,0.255058606075,-46.4901296574,0.77004384818,60.0646009796,22,-117.875011106,50.8237572654,-0.255044970124,-185.792851043,9.50167148585,-178.197013824,-72.5644560575,0.252330902865,-279.945799771,0.00582108860382,0.255044970124,-279.048163329,9.8125822755,0.000104169123993
-0.268820432034,0.268820432034,-41.3865985149,0.791315755581,65.5803878337,23,-111.268871402,56.5263905525,-0.268797747582,-162.006013278,9.61742061731,-161.085867813,-14.4812009637,0.265979990596,-257.987368648,0.00629165325041,0.268797747582,-257.688095582,9.88286706332,0.00012533786203
-0.2815402598,0.2815402598,-48.7380717515,0.779036326484,45.6951275639,24,-117.042763206,53.3373573736,-0.281528756918,-172.098064534,9.72193186099,-178.92206538,-76.2580208589,0.278717307661,-210.899676037,0.00669588132349,0.281528756918,-281.074479438,9.89901951273,0.000143187051243
-0.297227995932,0.297227995932,-41.8915281323,0.766191130169,31.3314795296,25,-120.383175447,53.5163696835,-0.29720927963,-195.448587987,9.84620116946,-182.882389202,-154.281772107,0.293983955537,-264.119530555,0.00683585214239,0.29720927963,-275.455940964,9.93679168433,0.000141957113063
-0.309639286341,0.309639286341,-36.2769617791,0.811346629808,42.6277181642,26,-107.968098003,63.7182036127,-0.309608068441,-183.781534895,9.95425380054,-154.836659534,-56.970299647,0.306066718137,-226.541631856,0.00699079210761,0.309608068441,-283.885823209,9.9863790549,0.00016111613975
-0.322389501759,0.322389501759,-41.0585191624,0.808398521737,52.8943737992,27,-111.528875409,58.3387947237,-0.322368494211,-170.597437511,10.0546078206,-164.032165689,-45.8248303637,0.318715062404,-226.0967748,0.00735654236002,0.322368494211,-273.662417149,10.0085000713,0.000181737549811
-0.332604870809,0.332604870809,-15.8949847975,0.720403478633,46.5335669177,28,-119.751934008,48.6487970847,-0.332584590265,-171.110201379,10.1726148342,-182.899964763,-85.9547170106,0.328983894983,-218.733190157,0.00743800427064,0.332584590265,-261.224487816,10.0200721334,0.000181871906923
-0.345520785505,0.345520785505,-20.0049784578,0.689123089198,66.4089331917,29,-103.435736217,63.4861728431,-0.345501749537,-179.41645785,10.2790832336,-147.729921709,-57.1474075538,0.342263036682,-270.223200697,0.00765062540898,0.345501749537,-251.397246315,10.0280166354,0.000194342637329
-0.354107944074,0.354107944074,-26.3653749634,0.740406407057,67.5251887236,30,-116.367458734,52.8107880609,-0.354078106461,-163.713195586,10.4242500941,-176.253905236,-54.7827551764,0.350377771583,-256.191968276,0.00826146895486,0.354078106461,-263.390976105,10.0512515651,0.000230678301705
