LossAfter,ExplainedVariance,AverageDiscountedReturn,MaxReturn,LossBefore,StdReturn,Iteration,AveragePolicyStd,Entropy,MinReturn,dLoss,AbsLearnSignal,AverageReturn,MeanKL,Perplexity,NumTrajs,MeanKLBefore
-0.0229321699525,0.859729974099,-14.526589341,-44.8903628934,-5.72592088078e-18,55.118096959,17,1.00021281587,1.41915132643,-294.9860928,0.0229321699525,0.767815413399,-211.389131879,0.00965705077228,4.13361086495,43,0.0
3.48488196064e-18,0.846352335865,-13.8418829057,-56.9652602391,3.48488196064e-18,49.9616157859,18,1.01200328818,1.43087035325,-277.856224328,0.0,0.762872939593,-203.956475196,0.0,4.18233771952,42,0.0
-2.28223095403e-17,0.860195583276,-13.3844415154,-45.3605736627,-2.28223095403e-17,59.8459630655,19,1.01200328818,1.43087035325,-304.071096703,0.0,0.780552657555,-197.597843028,0.0,4.18233771952,45,0.0
1.89378269084e-17,0.863838460978,-13.9543906122,-6.17557253553,1.89378269084e-17,56.3664917172,20,1.01200328818,1.43087035325,-308.171676563,0.0,0.760415036196,-212.569320948,0.0,4.18233771952,42,0.0
2.11999597804e-17,0.863180169068,-14.020342046,-28.3623181008,2.11999597804e-17,56.0144400102,21,1.01200328818,1.43087035325,-248.789696401,0.0,0.752185821831,-199.940694025,0.0,4.18233771952,44,0.0
8.74156143274e-18,0.858083068462,-13.9005147861,-83.3884726935,8.74156143274e-18,56.6344544624,22,1.01200328818,1.43087035325,-301.1227292,0.0,0.776565508869,-193.015029015,0.0,4.18233771952,42,0.0
-6.55311655485e-17,0.85079645857,-14.3025099883,-57.6470056305,-6.55311655485e-17,53.883335067,23,1.01200328818,1.43087035325,-298.896426384,0.0,0.752050465976,-205.912094434,0.0,4.18233771952,43,0.0
-0.0185812718754,0.847765403057,-14.1179437463,-23.5715802704,1.2469499981e-17,53.1742273571,24,1.01200328818,1.43087035325,-251.821056196,0.0185812718754,0.771673115465,-197.479779172,0.00996695767943,4.18233771952,44,0.0
-1.39154526649e-17,0.847925330148,-13.7100655125,-2.36161596873,-1.39154526649e-17,58.7449772557,25,1.00202142072,1.4209579136,-273.735693948,0.0,0.770217327328,-196.9678365,0.0,4.1410853429,44,0.0
-5.53037621233e-17,0.850889943479,-13.7140137139,-41.9113217752,-5.53037621233e-17,58.419604935,26,1.00202142072,1.4209579136,-244.348363517,0.0,0.755489019688,-195.075459366,0.0,4.1410853429,43,0.0
-1.30147072235e-17,0.875776341453,-13.7883003672,-110.513578231,-1.30147072235e-17,39.3752749949,27,1.00202142072,1.4209579136,-308.805308677,0.0,0.763384641272,-212.906905426,0.0,4.1410853429,41,0.0
