AverageDiscountedReturn,LossBefore,dLoss,LossAfter,AveragePolicyStd,Entropy,MinReturn,AbsLearnSignal,StdReturn,Iteration,ExplainedVariance,MaxReturn,MeanKLBefore,NumTrajs,AverageReturn,Perplexity,MeanKL
-118.350686742,1.23989402922e-16,0.0251341782525,-0.0251341782525,0.973210554356,2.78107087343,-233.277560643,0.7067197125,31.7690871099,45,0.74185925592,-63.0230317034,0.0,43,-178.389978807,16.1362916249,0.00924664256304
-124.495990432,3.77574612428e-17,0.0192798394873,-0.0192798394873,0.974355355862,2.78346422051,-249.376523101,0.769788747776,32.4764121385,46,0.792934799716,-107.94406243,0.0,41,-190.510079648,16.1749576235,0.00936052282579
-119.278485497,-2.91080894648e-16,0.0208754111753,-0.0208754111753,0.972481978958,2.77955365517,-243.099899748,0.740887306267,32.3058103427,47,0.773225830011,-94.8741667149,0.0,41,-182.983260161,16.1118279118,0.00942046412175
-116.647076747,1.84112909179e-17,0.020882854267,-0.020882854267,0.971848205137,2.77839470292,-240.615695671,0.698377419252,39.7614637544,48,0.745382597025,-59.1709605264,0.0,42,-175.418823953,16.0931658889,0.0099017213661
-123.0230127,-1.63188223639e-16,0.0240167909953,-0.0240167909953,0.969141870048,2.77254980585,-251.126768634,0.754975845786,33.6328244998,49,0.791470510141,-53.3541999121,0.0,41,-189.577887026,15.9993773498,0.00916268934296
-117.388392619,-2.03097931146e-16,0.0200353935502,-0.0200353935502,0.971408397413,2.77725134532,-233.566441454,0.716520922098,35.849695497,50,0.756183768053,-53.1491544384,0.0,42,-178.564607569,16.0747761604,0.00936302071487
-121.70485525,9.70721447655e-17,0.0186451791548,-0.0186451791548,0.977454114198,2.79042720754,-249.120972285,0.747309652848,33.6882133363,51,0.807687139091,-60.5794695828,0.0,41,-186.543163596,16.2879766621,0.00722902131434
-117.786374002,8.98634405895e-17,0.017998152052,-0.017998152052,0.972683079368,2.78051210498,-247.022907379,0.746076959038,33.7351808596,52,0.759188094955,-66.53956052,0.0,41,-178.746665888,16.1272776929,0.00666608509405
-119.062533805,-3.6263292516e-17,0.0214085239864,-0.0214085239864,0.969934751842,2.77505951408,-232.384584935,0.728052995849,36.0772767652,53,0.771115724346,-53.7893325958,0.0,42,-180.762538336,16.0395815481,0.00915729880141
-123.952385048,-1.63690564547e-16,0.0192025692864,-0.0192025692864,0.968645046216,2.77144748561,-238.859058774,0.771591694171,27.3488735114,54,0.827778538126,-123.412736066,0.0,41,-189.718887,15.9817506293,0.00665512480529
-116.746917927,3.258647262e-17,0.0222023219771,-0.0222023219771,0.965236402144,2.76400113638,-242.256730182,0.692829625979,41.3411532623,55,0.749388166894,-32.9206719235,0.0,43,-178.652402777,15.8631869142,0.00957743623264
-118.920465579,-2.68602344667e-18,0.0197464360252,-0.0197464360252,0.971694568455,2.77645201362,-236.550547397,0.723560415413,40.4554046087,56,0.738778569125,-43.3328824914,0.0,42,-180.725590915,16.0619322162,0.00649240784529
-115.813880068,-1.44002377297e-16,0.0181949277119,-0.0181949277119,0.970958503416,2.7756686399,-262.79907621,0.661364010582,39.0005589748,57,0.741962782923,-45.5609072149,0.0,43,-177.770520737,16.0493546476,0.00678519950343
-116.741842407,-3.22498569841e-16,0.0231441456253,-0.0231441456253,0.969102684439,2.77204676512,-239.951530492,0.755272932734,30.4234142162,58,0.795539472822,-79.839889537,0.0,41,-178.73781374,15.9913310354,0.00946602082697
-119.205207668,4.30139658057e-17,0.0200063606062,-0.0200063606062,0.968932489948,2.77077627743,-251.607906881,0.717977254092,32.6159985911,59,0.774070466436,-81.7329685545,0.0,42,-181.156110293,15.9710271468,0.00642091641423
-119.595205005,-3.47741489756e-17,0.0211114632817,-0.0211114632817,0.976145489719,2.78485596379,-239.790080486,0.71203278797,35.1852235239,60,0.79864886819,-62.6429804326,0.0,42,-183.182815661,16.1974846845,0.00656464101266
-117.383289256,-7.28696476166e-17,0.0200640439716,-0.0200640439716,0.974007113572,2.78050792857,-250.15146842,0.736833199507,35.3076677918,61,0.775536508025,-71.844413636,0.0,41,-179.236330351,16.1272103389,0.00674493057363
-120.039275528,-4.77257122711e-17,0.0189892371918,-0.0189892371918,0.974410635818,2.78136141323,-239.776148004,0.789312354606,28.6565795422,62,0.838110499951,-127.041073209,0.0,40,-184.355272168,16.1409805411,0.00663541705153
-119.532293547,1.39828757333e-16,0.019208936009,-0.019208936009,0.965094211752,2.76325856307,-244.483607928,0.733816432162,29.0650171634,63,0.808930700519,-108.60287576,0.0,41,-181.6470551,15.8514117073,0.00669788245475
-123.540378601,1.10021650017e-16,0.0189816334544,-0.0189816334544,0.964805510537,2.76211765182,-270.402069464,0.710165075734,34.1203121018,64,0.825410306973,-62.8511354592,0.0,41,-186.61242466,15.8333369663,0.00643872413241
-116.826177129,-8.94446030409e-17,0.0170328870904,-0.0170328870904,0.967538131172,2.76730735074,-278.951328712,0.700922177236,35.1461784671,65,0.791195494083,-49.5921559436,0.0,41,-177.807444612,15.9157208068,0.00712496012498
-113.757479635,7.88333044772e-17,0.0186660643335,-0.0186660643335,0.967940955982,2.76716722305,-254.069515022,0.680791782816,44.1047961199,66,0.710481189944,-50.4425490932,0.0,43,-171.688746151,15.9134907298,0.00656105582589
-113.951471846,3.77585075411e-18,0.0184829464434,-0.0184829464434,0.974622461222,2.77944080015,-238.120839639,0.741724455219,39.3566321972,67,0.709153485688,-40.1850592028,0.0,43,-170.861801341,16.1100097136,0.00666538894128
