AveragePolicySurr,AverageQ,PolicyRegParamNorm,AverageReturn,AverageAbsY,StdReturn,AverageEsReturn,MinEsReturn,MaxReturn,AverageAction,MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,Epoch,AverageY,MinReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,StdEsReturn
0.2612306669,-0.266416157,10.0494565482,-94.166206343,0.2664525184,36.5134171072,-94.8550665043,-169.652974561,-13.4940082189,0.219428194,-29.5115400623,-67.7168821083,0.266416157,31,-0.2664525184,-155.40627639,0.0118895753,12.2493784876,0.0002943679,44.6767724128
0.2668136597,-0.2720746182,10.0920848098,-110.979750318,0.2721011023,34.4443303901,-118.812640488,-167.923692677,-17.8698984247,0.2858195588,-57.9768085205,-74.2665845462,0.2720746182,32,-0.2721011023,-160.297557555,0.0121070259,12.3776983391,0.0003193656,34.4014174147
0.2720499046,-0.2773572459,10.1453765059,-109.384700596,0.2774129492,25.9178820311,-120.018873983,-214.043609401,-37.4230792356,0.2310286611,-30.8134848633,-74.4536883559,0.2773572459,33,-0.2774129492,-147.820616396,0.012287273,12.478616683,0.0003377352,48.6771046668
0.2782330734,-0.2834727832,10.1932377137,-116.528633289,0.2834834326,27.4976035382,-96.8603754502,-152.224540212,-28.6794579978,0.2742422856,-37.4155816253,-77.9435672468,0.2834727832,34,-0.2834834326,-150.016148589,0.0125393545,12.5615794599,0.0003455747,34.8886734584
0.2809838878,-0.2866683703,10.2373646747,-108.670100353,0.2867030192,34.8226425738,-103.766482699,-135.364956159,-10.7959809803,0.257232721,-45.8964942122,-72.8429896889,0.2866683703,35,-0.2867030192,-160.910299352,0.0131146617,12.728024908,0.0003966578,28.3870640316
0.2852352368,-0.2910192603,10.2776765606,-111.583238257,0.2910654562,28.1500815774,-105.324983655,-164.719743333,-12.6909489498,0.2160161981,-40.8070714404,-74.3975455575,0.2910192603,36,-0.2910654562,-160.690306602,0.0131025865,12.8357001391,0.0003977681,33.9986981335
0.2906281162,-0.2967797827,10.3231190387,-98.6701651475,0.2968110872,33.8440708689,-139.259789535,-159.711842851,-9.937241252,0.2799715315,-107.600837199,-68.9262408344,0.2967797827,37,-0.2968110872,-157.558339882,0.0133487107,12.9635025342,0.0004033691,15.1079054302
0.2942450972,-0.3005303446,10.37395909,-111.639171584,0.300556388,31.2357261916,-102.879890464,-146.614268406,-15.0244394927,0.2585876033,-58.6078644955,-74.2455718065,0.3005303446,38,-0.300556388,-148.166331388,0.0135131222,13.0843938262,0.0003997518,27.1420092752
0.2972366475,-0.3033702017,10.414861105,-112.346442124,0.30340428,30.8640765068,-93.0123881882,-137.442051608,-13.9172489217,0.3465924484,-28.57171744,-74.6532399519,0.3033702017,39,-0.30340428,-160.298021828,0.0141274523,13.1956653603,0.0004607145,33.1720415518
0.3030775477,-0.3092497823,10.4627973635,-116.353567972,0.3092745711,24.7730416653,-111.913971278,-172.087947497,-24.6713066181,0.2938069808,-13.2421777935,-77.2055662692,0.3092497823,40,-0.3092745711,-146.051615696,0.0138255921,13.2957682033,0.0004331414,47.7686405285
